,accuracy,f1,precision,recall,auc
Logistic Regression,0.8032786885245902,0.8333333333333334,0.7692307692307693,0.9090909090909091,0.8690476190476191
Random Forest,0.819672131147541,0.8533333333333334,0.7619047619047619,0.9696969696969697,0.908008658008658
SVM,0.819672131147541,0.8493150684931506,0.775,0.9393939393939394,0.8831168831168832
PyTorch Neural Network,0.8360655737704918,0.8611111111111112,0.7948717948717948,0.9393939393939394,0.895021645021645
